,tic,fyear
1385,HST,2017
1386,HST,2018
1387,HST,2019
1388,HST,2020
1389,MMC,2011
1390,MMC,2012
1391,MMC,2013
1392,MMC,2014
1393,MMC,2015
1394,MMC,2016
1395,MMC,2017
1396,MMC,2018
1397,MMC,2019
1398,MMC,2020
1399,MAS,2011
1400,MAS,2012
1401,MAS,2013
1402,MAS,2014
1403,MAS,2015
1404,MAS,2016
1405,MAS,2017
1406,MAS,2018
1407,MAS,2019
1408,MAS,2020
1409,MKC,2011
1410,MKC,2012
1411,MKC,2013
1412,MKC,2014
1413,MKC,2015
1414,MKC,2016
1415,MKC,2017
1416,MKC,2018
1417,MKC,2019
1418,MKC,2020
1419,MCD,2011
1420,MCD,2012
1421,MCD,2013
1422,MCD,2014
1423,MCD,2015
1424,MCD,2016
1425,MCD,2017
1426,MCD,2018
1427,MCD,2019
1428,MCD,2020
1429,SPGI,2011
1430,SPGI,2012
1431,SPGI,2013
1432,SPGI,2014
1433,SPGI,2015
1434,SPGI,2016
1435,SPGI,2017
1436,SPGI,2018
1437,SPGI,2019
1438,SPGI,2020
1439,MCK,2010
1440,MCK,2011
1441,MCK,2012
1442,MCK,2013
1443,MCK,2014
1444,MCK,2015
1445,MCK,2016
1446,MCK,2017
1447,MCK,2018
1448,MCK,2019
1449,MDT,2010
1450,MDT,2011
1451,MDT,2012
1452,MDT,2013
1453,MDT,2014
1454,MDT,2015
1455,MDT,2016
1456,MDT,2017
1457,MDT,2018
1458,MDT,2019
1459,CVS,2011
1460,CVS,2012
1461,CVS,2013
1462,CVS,2014
1463,CVS,2015
1464,CVS,2016
1465,CVS,2017
1466,CVS,2018
1467,CVS,2019
1468,CVS,2020
1469,MRK,2011
1470,MRK,2012
1471,MRK,2013
1472,MRK,2014
1473,MRK,2015
1474,MRK,2016
1475,MRK,2017
1476,MRK,2018
1477,MRK,2019
1478,MRK,2020
1479,MU,2011
1480,MU,2012
1481,MU,2013
1482,MU,2014
1483,MU,2015
1484,MU,2016
1485,MU,2017
1486,MU,2018
1487,MU,2019
1488,MU,2020
1489,ETR,2011
1490,ETR,2012
1491,ETR,2013
1492,ETR,2014
1493,ETR,2015
1494,ETR,2016
1495,ETR,2017
1496,ETR,2018
1497,ETR,2019
1498,ETR,2020
1499,MMM,2011
1500,MMM,2012
1501,MMM,2013
1502,MMM,2014
1503,MMM,2015
1504,MMM,2016
1505,MMM,2017
1506,MMM,2018
1507,MMM,2019
1508,MMM,2020
1509,MSI,2011
1510,MSI,2012
1511,MSI,2013
