,GVKEY,TICKER,TOTAL_SEC,OTHCOMP,NONEQ_INCENT,CASH_FEES,STOCK_AWARDS,OPTION_AWARDS,SPCODE,CUSIP,CONAME,YEAR,YEAR_y,total_director_comp,total_OTHCOMP,total_NONEQ_INCENT,total_CASH_FEES,total_STOCK_AWARDS,total_OPTION_AWARDS,MKVALT,SIZE_CATEGORY,signature_index
82,1380,HES,305.095,0.235,0.0,130.0,174.86,0.0,SP,42809H10,HESS CORP,2012,2010,2807.7039999999997,40.454,0.0,1268.5,1498.75,0.0,18087.3229,Big,5b3acb47963f7161aa44e03fe719fead
83,1380,HES,294.925,0.16,0.0,119.792,174.973,0.0,SP,42809H10,HESS CORP,2013,2010,2807.7039999999997,40.454,0.0,1268.5,1498.75,0.0,27001.062,Big,2ca4969f48e82c7308bfa0b2ef694523
84,1380,HES,350.775,15.773,0.0,160.0,175.002,0.0,SP,42809H10,HESS CORP,2014,2010,2807.7039999999997,40.454,0.0,1268.5,1498.75,0.0,21100.3397,Big,da0422db9ec0cf576b55c20b1e4a53a1
85,1380,HES,350.97,15.918,0.0,160.0,175.052,0.0,SP,42809H10,HESS CORP,2015,2010,2807.7039999999997,40.454,0.0,1268.5,1498.75,0.0,13867.5101,Big,91beaef4d688c99c931c53423bfa0179
86,1380,HES,482.718,16.813,0.0,290.833,175.072,0.0,SP,42809H10,HESS CORP,2016,2010,2807.7039999999997,40.454,0.0,1268.5,1498.75,0.0,19716.2177,Big,12b67a274aba71e1c6896096aee01ae9
87,1380,HES,506.8,21.75,0.0,310.0,175.05,0.0,SP,42809H10,HESS CORP,2017,2010,2807.7039999999997,40.454,0.0,1268.5,1498.75,0.0,14955.6134,Big,aaadde79fee696c1e05a229dffbac462
88,1380,HES,507.961,22.948,0.0,310.0,175.013,0.0,SP,42809H10,HESS CORP,2018,2010,2807.7039999999997,40.454,0.0,1268.5,1498.75,0.0,11803.1175,Big,9ea76867cd413c3c6208e546f986036b
89,1380,HES,489.055,4.012,0.0,310.0,175.043,0.0,SP,42809H10,HESS CORP,2019,2010,2807.7039999999997,40.454,0.0,1268.5,1498.75,0.0,20374.0436,Big,435672ec71e2682ae85f9e0da44531b2
90,1440,AEP,205.741,0.741,0.0,82.0,123.0,0.0,SP,02553710,AMERICAN ELECTRIC POWER CO,2010,2010,2638.3920000000003,27.392,0.0,1135.0,1476.0,0.0,17299.4359,Big,91f79f6a62b54c82380c9add6b80b134
91,1440,AEP,74.132,0.247,0.0,29.26,44.625,0.0,SP,02553710,AMERICAN ELECTRIC POWER CO,2011,2010,2638.3920000000003,27.392,0.0,1135.0,1476.0,0.0,19970.2041,Big,737a2e51e1599ec8c9b5a6bdff2cf7ac
92,1440,AEP,76.521,0.688,0.0,30.333,45.5,0.0,SP,02553710,AMERICAN ELECTRIC POWER CO,2012,2010,2638.3920000000003,27.392,0.0,1135.0,1476.0,0.0,20728.3102,Big,9de60058808c6bc3a7a7a717123bbe84
93,1440,AEP,233.642,0.642,0.0,93.25,139.75,0.0,SP,02553710,AMERICAN ELECTRIC POWER CO,2013,2010,2638.3920000000003,27.392,0.0,1135.0,1476.0,0.0,22798.697,Big,fe7fef116f4e3bffe96fe9a7f40e6566
94,1440,AEP,252.142,0.642,0.0,105.25,146.25,0.0,SP,02553710,AMERICAN ELECTRIC POWER CO,2014,2010,2638.3920000000003,27.392,0.0,1135.0,1476.0,0.0,29716.4894,Big,f439a8626f61223ce9c72a0e1716597c
95,1440,AEP,264.053,0.803,0.0,111.375,151.875,0.0,SP,02553710,AMERICAN ELECTRIC POWER CO,2015,2010,2638.3920000000003,27.392,0.0,1135.0,1476.0,0.0,28613.6583,Big,262fd73d5cc44269eaa0deeaae4d332d
96,1440,AEP,273.803,0.803,0.0,115.5,157.5,0.0,SP,02553710,AMERICAN ELECTRIC POWER CO,2016,2010,2638.3920000000003,27.392,0.0,1135.0,1476.0,0.0,30958.1875,Big,03f4f2dfff76baffae7c81ca2b503e3b
97,1440,AEP,273.803,0.803,0.0,115.5,157.5,0.0,SP,02553710,AMERICAN ELECTRIC POWER CO,2017,2010,2638.3920000000003,27.392,0.0,1135.0,1476.0,0.0,36196.8814,Big,3f594e25358bb0ea4fd8dbe557bb80cc
